Datos del club;;;;;;;;;;;Características Web;;;;;
El Club;;Dirección;;;;;Contacto;;;Web;Valoración;Tiene...;;;;
Nombre Club;Nº Socios;País;Provincia;Población;Dirección;Código Postal;Teléfono(s);Persona contacto;Email;Dirección Web;Estado web;Comentarios;Fotos/galerias;Calendario;Tracks; Observaciones
Bizikleteroak;;España;Álava;Vitoria - Gasteiz;C/ Panamá, 14 Edificio Rogelia de Álvaro;E01012;;;info@bizikleteroak.org / Formulario Web;www.bizikleteroak.org;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook y Twitter. Es una Asociación de Ciclistas Urbanos.
Agrupación Deportiva Policía Local de Avilés;;España;Asturias;Avilés;C/ Rivero, 54;33401;985.12.21.33;;;;;;;;;Tienen varias actividades no sólo ciclismo.
Deportes Roxín;;España;Asturias;Avilés;C/ Pruneda, 3;33400;985.56.00.49;;pruneda@deportesroxin.com;??www.deportesroxin.es??;;;;;;Redes Sociales: Facebook. Tienen también tienda. Tienen dominio registrado pero no hay web. 
A.D. Triatlon Avilés;;España;Asturias;Miranda - Avilés;C/Alejandro Casona, 4 - 2ºD "Urbanización El Alfaraz" ;33410;985.56.60.87;;triatlonaviles@hotmail.es;;;;;;;Redes Sociales: Facebook y Twitter. 
B.T.T. Esperaime;;España;Asturias;Avilés;Plaza España;33401;;;Facebook.;;;;;;;Redes sociales: Facebook. El contacto es a través de Facebook. Ya no tienen blog.
Culebru B.T.T.;;España;Asturias;Avilés;;;;;A través de Foro;;;;Si;;;Foro en www.foromtb.com. El contacto se puede realizar a través del mismo.
Club Deportivo Cosa Nuesa;;España;Asturias;Avilés;Complejo Deportivo Avilés - C/ Juan XXIII, 42 - Oficina 1;33401;673.89.81.14 / 615.66.24.93;;cdcosanuesa@cdcosanuesa.com;www.cdcosanuesa.com;Sólo contenidos;No;No;No;No;Redes Sociales: Facebook. Realizan varias actividades. Club formado íntegramente por discapacitados.
Grupo Cicloturista Ensidesa - Avilés;130;España;Asturias;Avilés;C/ Sabino Álvarez Gendín, 14 Polideportivo La Magdalena 1ª Planta;33402;;;gcensidesa@gmail.com;www.gcensidesa.es;Bien Estructurado;No;Si;Si;Si;Redes Sociales: Facebook. Diseño no está mal. Tracks enlaza con wikiloc. Y el horario de atención en sede es Viernes de 20:00- 21:00 H
GCT San Agustín;;España;Asturias;Avilés;;;;;En Foro;gctsanagustin.foroactivo.com;;;;;;Por lo visto antes tenían web (gctsanagustin.enaviles.com). Fotos a través de Flickr.
Ride4u MTB;;España;Asturias;Avilés;C/ Ría de Avilés, 4;33401;661.93.18.55 / 616.18.87.91;Beni (primer móvil) / Veli (segundo móvil);info@ride4u.es;ride4u.es;Bien Estructurado;Si;;;;Es una tienda que organiza rutas en bici...parecido a Pedales. La web es funcional pero mejorable en diseño.
Club Ciclista Esturbin;Entre 28 - 31;España;Asturias;Cabañaquinta - Aller;Avda. Constitución, 43 Bajo;33686;650.55.23.90;;ccesturbin@hotmail.com;ccesturbin.es.tl;Herramientas Dispersas;Si;Si;Si;No;Redes Sociales: Facebook. Dieño de la web bastante malo.
Team Bike Cabranes;;España;Asturias;Fresneu - Cabranes;C/ Arneru s/n;33310;;;teambikecabranes@gmail.com;teambikecabranes.wordpress.com;Sólo contenidos;No;Si;No;No;Redes Sociales: Facebook y Twitter. 
Escuela Ciclismo Carreño;;España;Asturias;Candás - Carreño;Polideportivo Vicente López Carril-  Edificio Polivalente,  Baragaña Alta;33430;;;ciclismo_carreno@hotmail.com;escuelaciclismocarreno.blogspot.com.es;Sólo contenidos;No;No;No;No;Redes Sociales: Facebook. Horario de atención: Lunes 17:00-18:00 Miércoles y Viernes: 17:00 - 19:00 H.
Asociación Deportiva de Actividades de Montaña Ercina;;España;Asturias;Cangas de Onís;Contranquil- Polideportivo Municipal;33550;;;;;;;;;;
Club Cangas de Onís Ciclismo;;España;Asturias;Cangas de Onís;;33550;;;cangasdeonisciclismo@gmail.com;cangasdeonisciclismo.blogspot.com.es;Mediocre;No;Si;No;No;Redes Sociales: Facebook. 
Club Deportivo Básico B.T.T. El Rozón;;España;Asturias;Cerredo - Degaña;La Torre s/n;33812;985.81.83.54 / 679.20.20.49;Don Andrés Blanco Villamañe;Elrozon@yahoo.es;;;;;;;Datos de cuando era wanadoo. No he podido confirmar si están actualizados. Aparece una web con un dominio a su nombre pero no está activo, te lleva a una web japonesa.
Club Ciclista Figaredo;;España;Asturias;Figaredo;Carretera General;33683;985.42.61.36;;;;;;;;;Tienen perfil en Google +.
Club Ciclista Xixón 2000;31;España;Asturias;Gijón;;;;;xixon2000@xixon2000.com;www.xixon2000.com;Sólo contenidos;Si;Si;Si;No;El diseño de la web deja bastante que desear aunque tiene bastantes contenidos.
El corrillo de Xixón;;España;Asturias;Gijón;;;;;;elcorrillodexixon.webs.com;Mediocre;Si;;;;No he conseguido encontrar dirección ni contacto. Tan sólo el encargado de web que se llama Nacho. La web no está actualizada. Solo un dato respecto al punto de encuentro de salida de las rutas, es en el Llano. Tal vez el contacto pueda ser a través del foro de la web.
Asturies con Bici;;España;Asturias;Gijón;C/ Manuel LLaneza, 68;33208;686.89.38.79;;info@asturiesconbici.org;www.asturiesconbici.org;Mediocre;Si;Si;Si;No;Falla el diseño web, tiene muchos contenidos. Tienen perfil en Facebook y Twitter.
Grupo Ciclista Pedalín;;España;Asturias;Gijón;C/ Rufo Renduelles, Bajo-1;33203;;;johntorano@hotmail.com;www.elpedalin.es;Mediocre;No;Si;No;No;Diseño de la web muy malo. 
Agrupación Deportiva La Unión;;España;Asturias;Gijón;C/ Peña Ubiña, 5;33211;985.39.32.95;;;;;;;;;
Club Escuela De Ciclismo Las Mestas;;España;Asturias;Gijón;;;619.35.20.00;Emma;emmaperezdelrio@yahoo.es;lasmestas.galeon.com;Sólo contenidos;No;Si;No;No;Escuela para niños de entre 6-17 años.
Grupo Ciclista Buenavista;;España;Asturias;Gijón;C/ Martín, 19. El Cerillero;33213;985.32.30.03;;contacto@grupociclistabuenavista.com;www.grupociclistabuenavista.com;Bien Estructurado;No;Si;Si;No;Tener en cuenta que tienen patrocinadores y colaboradores, por lo que su publicidad está en la web.
Agrupación Deportiva y Cultural Bomberos - Gijón;;España;Asturias;Gijón;Ctra. Carbonera, s/n;33211;985.16.38.18;;;;;;;;;Además de Ciclismo tienen otras actividades, Atletismo, Deport. Montaña, Escalada y Senderismo.
Amigos del Camión por el Deporte y la Salud;;España;Asturias;Gijón;Avda. Galicia, 89;33212;985.31.39.66;;;;;;;;;
Ciclos Jogar;;España;Asturias;Gijón;C/ Pintor Manuel Medina, 9 Bajo;33210;985.15.14.78;;Formulario web.;www.ciclosjogar.com;Bien Estructurado;No;Si;No;Si;Tienen tienda también. No hay datos concretos del Club. Hacen rutas nocturnas. En la web falla el diseño.
Club Deportivo Asturbike Gijón;;España;Asturias;Gijón;C/ León XIII, 6 - 5ºA;33209;985.38.77.68;;Formulario web o Facebook.;www.asturbike.es;Bien Estructurado;Si;Si;No;Si;Redes Sociales: Facebook. Diseño web mejorable.
Diañu MTB Xixón;;España;Asturias;Gijón;;;;;dianumtbclub@hotmail.com / Foro;www.foromtb.com/threads/diañu-mtb-xixon.652264/;;Si;;;;Solo tienen Foro a través de www.foromtb.com
Escuela Ciclismo Coque Uría;Aprox 54;España;Asturias;Gijón;Cr. Carbonera, 89 - Urbanización Los Pedregales, 13;33211;625.83.35.18;África;coqueuria@gmail.com;escueladeciclismocoqueuria.blogspot.com.es / sites.google.com/site/eccoqueuria/INICIO;Bien Estructurado;No;Si;Si;No;Redes Sociales: Facebook y Twitter. Diseño web mejorable.
Escuela De Ciclismo Santi Pérez - Patria Hispana Seguros;;España;Asturias;Grado;;33820;;Lolo (presidente);basoraseguros@hotmail.com;ecsp.webcindario.com / www.ecsp.tk;Bien Estructurado;Si;Si;No;No;Redes sociales: Facebook (ecsp.patriahispanaseguros...poco activo) Twitter (@PatriaHispanaRT ... más activo) y Tuenti (Ekipo Santi Perez). Diseño web mejorable.
Club Ciclista Cayón;;España;Asturias;Infiesto;C/ San Miguel, 14 - Bajo;33530;984.84.25.70;;cayonbikes@gmail.com / c.c.cayon@hotmail.com / Foro;ciclistacayon.webcindario.com;Bien Estructurado;Si;Si;No;No;Redes Sociales: Facebook. Diseño web mejorable. No están actualizados los contenidos de la web.
Club Ciclista Altitud;Aprox 20;España;Asturias;LLanes;Prolongación C/ Las Barqueras, 5 Bajo;33500;985.40.28.53 / Fax: 985.40.28.53;;;www.ciclismoaltitud.com;Bien Estructurado;Si;No;Si;Si;Tracks a través de Foro y Wikiloc.
Club Ciclista Santufirme;17;España;Asturias;Lugo de Llanera;C/ Severo Ochoa, 6 - Bajo;33690;985.77.08.37;;ccsantufirme@yahoo.es;www.santufirme.es;Sólo contenidos;Si;Si;Si;Si;Redes Sociales: Finixer. Track a través de wikiloc.
Escuela Ciclismo Peña Manzanillo - Construcciones Paulino;;España;Asturias;Lugones;C/ Antonio Machado, Edificio Enol - Bajo;33420;629.32.85.08 / 639.89.40.14;;pcmanzanillo@terra.es / victorsevares@telecable.es / contacto blog: rafsegoviar@gmail.com;escuelaciclistamanzanillopaulino.blogspot.com.es;Herramientas Dispersas;Si;No;No;No;Redes Sociales: Facebook. Web no está bien diseñada.
C.C. Valle del Nalón;;España;Asturias;La Felguera;C/ Francisco Ferrer, 10;33930;695.32.8084;;ccvalledelnalon8@hotmail.com;clubcicloturistanalon.6te.net;Mediocre;No;Si;Si;No;Redes Sociales: Facebook. Web tiene diferentes herramientas pero es malilla. No está actualizada desde 2010.
B.T.T. La Caleya;;España;Asturias; La Felguera - Mieres;C/ Alcalde Antonio Cienfuegos, 12;33930;985.10.65.81;;;;;;;;;Redes Sociales: Finixer.
Club Ciclista Teodoro Cuesta;45;España;Asturias;Mieres;Polideportivo de Oñon;33600;687.81.82.22 / 686.51.18.70;;contacto@ccteodorocuesta.es;www.ccteodorocuesta.es;Bien Estructurado;Si;Si;Si;No;Horario de Oficina: 20:00- 21:00H Viernes.
Agrupación Deportiva Valle de Cuna y Cenera;;España;Asturias;Mieres;C/ Vega de Arriba, 21 - 3º D;33600;985.45.02.60;;;;;;;;;No web, no facebook. Además de Ciclismo tienen otras actividades, Atletismo, Baloncesto, Balonmano, Bolos, Fútbol y Hockey.
Poco a poco;;España;Asturias;Mieres del Camín;;33600;;;grupopocoapoco@gmail.com;www.grupopocoapocobtt.com;Mediocre;No;Si;Si;No;
Club Deportivo Amigos del Ciclismo de Moreda;;España;Asturias;Moreda;Avda. Tartiere, 44;33670;985.48.10.40;;;;;;;;;Redes Sociales: Finixer.
